import time: self [us] | cumulative | imported package
import time:       525 |        525 |   _io
import time:       117 |        117 |   marshal
import time:       734 |        734 |   posix
import time:      5094 |       6469 | _frozen_importlib_external
import time:       475 |        475 |   time
import time:      1695 |       2169 | zipimport
import time:       136 |        136 |     _codecs
import time:      2800 |       2936 |   codecs
import time:       910 |        910 |   encodings.aliases
import time:      4193 |       8038 | encodings
import time:       565 |        565 | encodings.utf_8
import time:       206 |        206 | _signal
import time:        52 |         52 |     _abc
import time:      1153 |       1204 |   abc
import time:      1134 |       2337 | io
import time:        64 |         64 |       _stat
import time:      1067 |       1130 |     stat
import time:      1199 |       1199 |     _collections_abc
import time:        70 |         70 |       genericpath
import time:      1509 |       1579 |     posixpath
import time:      3064 |       6970 |   os
import time:       234 |        234 |   _sitebuiltins
import time:     30075 |      30075 |     apport_python_hook
import time:      1269 |      31344 |   sitecustomize
import time:     72205 |     110752 | site
import time:       235 |        235 |       itertools
import time:      1247 |       1247 |       keyword
import time:        96 |         96 |         _operator
import time:      2238 |       2333 |       operator
import time:      1143 |       1143 |       reprlib
import time:       100 |        100 |       _collections
import time:      5524 |      10581 |     collections
import time:      1637 |       1637 |       types
import time:        84 |         84 |       _functools
import time:      3639 |       5359 |     functools
import time:      1901 |       1901 |       warnings
import time:      2356 |       4256 |     importlib
import time:       303 |        303 |       importlib._abc
import time:      1881 |       1881 |         _weakrefset
import time:      3149 |       5030 |       threading
import time:      1789 |       7121 |     importlib.util
import time:        83 |         83 |     importlib.machinery
import time:      1742 |       1742 |     weakref
import time:       167 |        167 |       collections.abc
import time:      1023 |       1023 |       copyreg
import time:      1461 |       1461 |       contextlib
import time:      2124 |       2124 |         enum
import time:       140 |        140 |           _sre
import time:       229 |        229 |             re._constants
import time:      3168 |       3397 |           re._parser
import time:       298 |        298 |           re._casefix
import time:      4400 |       8234 |         re._compiler
import time:      3971 |      14328 |       re
import time:        62 |         62 |       _typing
import time:      8746 |      25783 |     typing
import time:      7826 |      62748 |   pkgutil
import time:      1477 |       1477 |       __future__
import time:     46029 |      46029 |       airflow.utils.deprecation_tools
import time:     60092 |     107598 |     airflow.utils
import time:      1559 |     109156 |   airflow.utils.deprecation_tools
import time:       702 |        702 |             token
import time:        64 |         64 |             _tokenize
import time:      3502 |       4268 |           tokenize
import time:      1812 |       6079 |         linecache
import time:      1846 |       1846 |         textwrap
import time:      6086 |      14011 |       traceback
import time:        69 |         69 |         _string
import time:      2761 |       2830 |       string
import time:        66 |         66 |       atexit
import time:      5810 |      22714 |     logging
import time:      9425 |       9425 |       fnmatch
import time:       203 |        203 |       errno
import time:      2087 |       2087 |         urllib
import time:        87 |         87 |         math
import time:      2519 |       2519 |         ipaddress
import time:      4557 |       9248 |       urllib.parse
import time:      6205 |       6205 |         _winapi
import time:      5038 |       5038 |         nt
import time:      6066 |       6066 |         nt
import time:      4132 |       4132 |         nt
import time:      4212 |       4212 |         nt
import time:      4244 |       4244 |         nt
import time:      4361 |       4361 |         nt
import time:      5961 |      40217 |       ntpath
import time:     10118 |      69209 |     pathlib
import time:      1346 |       1346 |     shlex
import time:        81 |         81 |         _locale
import time:      3393 |       3473 |       locale
import time:      2690 |       2690 |       signal
import time:        99 |         99 |       fcntl
import time:      4701 |       4701 |       msvcrt
import time:        55 |         55 |       _posixsubprocess
import time:       142 |        142 |       select
import time:      1606 |       1606 |       selectors
import time:      7233 |      19996 |     subprocess
import time:       121 |        121 |         _struct
import time:      1908 |       2029 |       struct
import time:        94 |         94 |       binascii
import time:      3014 |       5136 |     base64
import time:      3233 |       3233 |     configparser
import time:       951 |        951 |         _ast
import time:      3354 |       4305 |       ast
import time:        48 |         48 |           _opcode
import time:      2239 |       2286 |         opcode
import time:      3548 |       5834 |       dis
import time:      5002 |      15140 |     inspect
import time:       291 |        291 |       _socket
import time:     20251 |      20542 |     typing_extensions
import time:     35899 |      35899 |         airflow._shared
import time:     24852 |      24852 |         airflow._shared.configuration.exceptions
import time:       259 |        259 |             _datetime
import time:      2145 |       2403 |           datetime
import time:       965 |        965 |                 _json
import time:      1575 |       2540 |               json.scanner
import time:      1707 |       4246 |             json.decoder
import time:       411 |        411 |             json.encoder
import time:      6879 |      11535 |           json
import time:      1072 |       1072 |           copy
import time:     26786 |      41795 |         airflow._shared.configuration.parser
import time:     49107 |     151652 |       airflow._shared.configuration
import time:       681 |     152332 |     airflow._shared.configuration.parser
import time:     20538 |      20538 |       airflow._shared.module_loading.dag_file
import time:      2557 |       2557 |                   dataclasses
import time:     20347 |      20347 |                   pathspec._typing
import time:      1091 |       1091 |                           concurrent
import time:       743 |        743 |                           concurrent.futures._base
import time:      1849 |       3682 |                         concurrent.futures
import time:        51 |         51 |                           _heapq
import time:      2313 |       2363 |                         heapq
import time:        97 |         97 |                           array
import time:      3361 |       3457 |                         socket
import time:      4280 |       4280 |                           _ssl
import time:      5181 |       9460 |                         ssl
import time:       232 |        232 |                         asyncio.constants
import time:       141 |        141 |                         asyncio.coroutines
import time:      1570 |       1570 |                             _contextvars
import time:      2487 |       4056 |                           contextvars
import time:       555 |        555 |                           asyncio.format_helpers
import time:       399 |        399 |                             asyncio.base_futures
import time:       532 |        532 |                             asyncio.exceptions
import time:       443 |        443 |                             asyncio.base_tasks
import time:      6251 |       7624 |                           _asyncio
import time:      3406 |      15639 |                         asyncio.events
import time:       327 |        327 |                         asyncio.futures
import time:       218 |        218 |                         asyncio.protocols
import time:       233 |        233 |                           asyncio.transports
import time:       130 |        130 |                           asyncio.log
import time:      3066 |       3428 |                         asyncio.sslproto
import time:        90 |         90 |                             asyncio.mixins
import time:      1600 |       1690 |                           asyncio.locks
import time:       405 |        405 |                             asyncio.timeouts
import time:      1397 |       1802 |                           asyncio.tasks
import time:      2147 |       5637 |                         asyncio.staggered
import time:       149 |        149 |                         asyncio.trsock
import time:     11925 |      56655 |                       asyncio.base_events
import time:       291 |        291 |                       asyncio.runners
import time:       258 |        258 |                       asyncio.queues
import time:       351 |        351 |                       asyncio.streams
import time:       229 |        229 |                       asyncio.subprocess
import time:       173 |        173 |                       asyncio.taskgroups
import time:       313 |        313 |                       asyncio.threads
import time:       324 |        324 |                         asyncio.base_subprocess
import time:       682 |        682 |                         asyncio.selector_events
import time:      7570 |       8575 |                       asyncio.unix_events
import time:     10140 |      76980 |                     asyncio
import time:      9774 |      86753 |                   asyncio.coroutines
import time:     33634 |     143289 |                 pathspec.pattern
import time:     45010 |     188299 |               pathspec.backend
import time:     56629 |      56629 |                 pathspec._backends
import time:     43710 |      43710 |                   pathspec._backends.hyperscan
import time:      7312 |       7312 |                   hyperscan
import time:     63136 |     114156 |                 pathspec._backends.hyperscan.base
import time:      5086 |       5086 |                   hyperscan
import time:     39928 |      39928 |                           pathspec.patterns.gitignore.base
import time:     63432 |     103359 |                         pathspec.patterns.gitignore
import time:     20327 |      20327 |                           pathspec.util
import time:     25140 |      45467 |                         pathspec.patterns.gitignore.basic
import time:     30142 |      30142 |                         pathspec.patterns.gitignore.spec
import time:     23322 |      23322 |                         pathspec.patterns.gitwildmatch
import time:     41244 |     243531 |                       pathspec.patterns
import time:       930 |     244461 |                     pathspec.patterns.gitignore
import time:       849 |     245309 |                   pathspec.patterns.gitignore.spec
import time:      4599 |       4599 |                     hyperscan
import time:     28876 |      33475 |                   pathspec._backends.hyperscan._base
import time:      3847 |       3847 |                     hyperscan
import time:     31095 |      31095 |                     pathspec._backends._utils
import time:     26944 |      61884 |                   pathspec._backends.hyperscan.pathspec
import time:     36508 |     382261 |                 pathspec._backends.hyperscan.gitignore
import time:     60150 |      60150 |                   pathspec._backends.re2
import time:      5701 |       5701 |                     re2
import time:     39381 |      45081 |                   pathspec._backends.re2._base
import time:     60839 |     166070 |                 pathspec._backends.re2.base
import time:      4667 |       4667 |                   re2
import time:      3835 |       3835 |                     re2
import time:     27152 |      30986 |                   pathspec._backends.re2.pathspec
import time:     29603 |      65255 |                 pathspec._backends.re2.gitignore
import time:     50004 |      50004 |                   pathspec._backends.simple
import time:     29934 |      29934 |                   pathspec._backends.simple.pathspec
import time:     52338 |     132275 |                 pathspec._backends.simple.gitignore
import time:     41855 |     958498 |               pathspec._backends.agg
import time:     20781 |      20781 |               pathspec.pathspec
import time:     49095 |    1216671 |             pathspec.gitignore
import time:     21954 |      21954 |             pathspec._meta
import time:     23409 |      23409 |             pathspec._version
import time:     20159 |    1282192 |           pathspec
import time:      1023 |    1283215 |         pathspec.patterns
import time:     18444 |    1301659 |       airflow._shared.module_loading.file_discovery
import time:        96 |         96 |           _csv
import time:      2816 |       2912 |         csv
import time:      1422 |       1422 |         email
import time:        95 |         95 |             zlib
import time:      1208 |       1208 |               _compression
import time:      1486 |       1486 |               _bz2
import time:      3306 |       5999 |             bz2
import time:      1664 |       1664 |               _lzma
import time:      2850 |       4513 |             lzma
import time:      4103 |      14709 |           shutil
import time:       120 |        120 |             zipfile._path.glob
import time:      1288 |       1408 |           zipfile._path
import time:      4228 |      20344 |         zipfile
import time:      1833 |       1833 |             quopri
import time:        49 |         49 |                   _bisect
import time:      1935 |       1983 |                 bisect
import time:        93 |         93 |                 _random
import time:       292 |        292 |                 _sha2
import time:      4367 |       6733 |               random
import time:      2224 |       2224 |                 calendar
import time:      1315 |       3539 |               email._parseaddr
import time:       101 |        101 |                 email.base64mime
import time:       261 |        261 |                 email.quoprimime
import time:       462 |        462 |                 email.errors
import time:       150 |        150 |                 email.encoders
import time:      3598 |       4570 |               email.charset
import time:      3149 |      17990 |             email.utils
import time:       613 |        613 |               email.header
import time:      1969 |       2581 |             email._policybase
import time:       510 |        510 |             email._encoded_words
import time:       158 |        158 |             email.iterators
import time:      5158 |      28228 |           email.message
import time:        77 |         77 |             importlib.metadata._functools
import time:      1158 |       1234 |           importlib.metadata._text
import time:      2046 |      31507 |         importlib.metadata._adapters
import time:       491 |        491 |         importlib.metadata._meta
import time:       307 |        307 |         importlib.metadata._collections
import time:       146 |        146 |         importlib.metadata._itertools
import time:      1758 |       1758 |               tempfile
import time:       362 |        362 |               importlib.resources.abc
import time:       321 |        321 |               importlib.resources._adapters
import time:      3189 |       5628 |             importlib.resources._common
import time:       326 |        326 |             importlib.resources._legacy
import time:      1916 |       7869 |           importlib.resources
import time:      1501 |       9370 |         importlib.abc
import time:      8652 |      75148 |       importlib.metadata
import time:     31571 |    1428914 |     airflow._shared.module_loading
import time:      1742 |       1742 |       http
import time:     39179 |      39179 |         airflow.sdk
import time:      4543 |       4543 |             _wmi
import time:      3948 |       8490 |           platform
import time:      4580 |       4580 |           _uuid
import time:      4001 |      17070 |         uuid
import time:     76265 |      76265 |                   pydantic_core._pydantic_core
import time:      1512 |       1512 |                         numbers
import time:      2741 |       4252 |                       _decimal
import time:      2113 |       6364 |                     decimal
import time:     18961 |      25325 |                   pydantic_core.core_schema
import time:     47509 |     149098 |                 pydantic_core
import time:     32589 |     181686 |               pydantic.version
import time:     23752 |     205437 |             pydantic.warnings
import time:     38086 |     243523 |           pydantic._migration
import time:     11977 |      11977 |               typing_inspection
import time:     11842 |      11842 |               typing_inspection.typing_objects
import time:     16091 |      39909 |             typing_inspection.introspection
import time:     15382 |      15382 |             pydantic._internal
import time:     13908 |      13908 |                 pydantic._internal._namespace_utils
import time:     13380 |      27287 |               pydantic._internal._typing_extra
import time:     19842 |      47128 |             pydantic._internal._repr
import time:     13299 |     115717 |           pydantic.errors
import time:     34450 |     393689 |         pydantic
import time:     24744 |      24744 |         annotated_types
import time:     14791 |      14791 |             pydantic._internal._internal_dataclass
import time:     11278 |      26068 |           pydantic.aliases
import time:     12179 |      12179 |             pydantic._internal._core_utils
import time:     12619 |      12619 |             pydantic._internal._forward_ref
import time:     14420 |      14420 |               pydantic._internal._import_utils
import time:     14029 |      28448 |             pydantic._internal._utils
import time:     14771 |      68016 |           pydantic._internal._generics
import time:     12179 |      12179 |             pydantic.config
import time:     17769 |      29947 |           pydantic._internal._config
import time:     13885 |      13885 |           pydantic._internal._docs_extraction
import time:     19258 |     157173 |         pydantic._internal._fields
import time:      2782 |       2782 |           fractions
import time:     14263 |      14263 |               sysconfig
import time:      1969 |       1969 |               _sysconfigdata__x86_64-linux-gnu
import time:      2541 |      18772 |             zoneinfo._tzpath
import time:       356 |        356 |             zoneinfo._common
import time:      2449 |       2449 |             _zoneinfo
import time:      4710 |      26285 |           zoneinfo
import time:     14826 |      43892 |         pydantic._internal._validators
import time:     11843 |      11843 |         pydantic.annotated_handlers
import time:     14667 |      14667 |           pydantic._internal._core_metadata
import time:     18591 |      18591 |           pydantic._internal._decorators
import time:     22526 |      22526 |               pydantic.plugin
import time:     25464 |      47989 |             pydantic.plugin._schema_validator
import time:     17980 |      65969 |           pydantic._internal._mock_val_ser
import time:     14976 |      14976 |           pydantic._internal._schema_generation_shared
import time:     18096 |     132298 |         pydantic.json_schema
import time:     15673 |      15673 |             pydantic.functional_validators
import time:     12405 |      12405 |             pydantic._internal._discriminated_union
import time:     13404 |      13404 |             pydantic._internal._known_annotated_metadata
import time:     14471 |      14471 |             pydantic._internal._schema_gather
import time:     19013 |      74963 |           pydantic._internal._generate_schema
import time:     13193 |      13193 |           pydantic._internal._signature
import time:     18334 |     106489 |         pydantic._internal._model_construction
import time:     14607 |      14607 |         pydantic.plugin._loader
import time:     17291 |      17291 |             airflow.sdk._shared
import time:     28187 |      28187 |             airflow.sdk._shared.configuration.exceptions
import time:     20117 |      20117 |             airflow.sdk._shared.configuration.parser
import time:     36613 |     102207 |           airflow.sdk._shared.configuration
import time:      1000 |     103206 |         airflow.sdk._shared.configuration.exceptions
import time:    689874 |    1734060 |       airflow.sdk.exceptions
import time:     11500 |      11500 |             airflow.providers
import time:      9909 |      21409 |           airflow.providers.cncf
import time:       894 |      22303 |         airflow.providers.cncf.kubernetes
import time:       856 |      23158 |       airflow.providers.cncf.kubernetes.exceptions
import time:      1808 |       1808 |           airflow.providers.cncf
import time:       957 |       2764 |         airflow.providers.cncf.kubernetes
import time:       809 |       3572 |       airflow.providers.cncf.kubernetes.exceptions
import time:     24685 |    1787215 |     airflow.exceptions
import time:     20179 |      20179 |             airflow._shared.secrets_backend.base
import time:     21865 |      42043 |           airflow._shared.secrets_backend
import time:       760 |      42802 |         airflow._shared.secrets_backend.base
import time:     22633 |      65435 |       airflow.secrets.base_secrets
import time:     18117 |      83551 |     airflow.secrets
import time:     15846 |      15846 |       airflow.task
import time:     13621 |      13621 |           wirerope._version
import time:      8146 |       8146 |             six
import time:      7486 |       7486 |               wirerope._util
import time:      8132 |       8132 |               wirerope._compat
import time:     11406 |      27023 |             wirerope.callable
import time:     11114 |      46281 |           wirerope.wire
import time:      7788 |       7788 |           wirerope.rope
import time:     11699 |      79388 |         wirerope
import time:      7037 |      86424 |       methodtools
import time:     17228 |     119497 |     airflow.task.weight_rule
import time:      8419 |       8419 |     airflow.utils.yaml
import time:     11737 |      11737 |       yaml.error
import time:      8400 |       8400 |       yaml.tokens
import time:      7571 |       7571 |       yaml.events
import time:      8445 |       8445 |       yaml.nodes
import time:     12521 |      12521 |         yaml.reader
import time:     12614 |      12614 |         yaml.scanner
import time:     11527 |      11527 |         yaml.parser
import time:     12376 |      12376 |         yaml.composer
import time:     12008 |      12008 |         yaml.constructor
import time:     11463 |      11463 |         yaml.resolver
import time:     24255 |      96761 |       yaml.loader
import time:     17708 |      17708 |         yaml.emitter
import time:     11030 |      11030 |         yaml.serializer
import time:     14768 |      14768 |         yaml.representer
import time:     11393 |      54897 |       yaml.dumper
import time:      8924 |       8924 |         yaml._yaml
import time:     15181 |      24105 |       yaml.cyaml
import time:     17590 |     229503 |     yaml
import time:     14550 |      14550 |             packaging
import time:      9312 |       9312 |                 packaging._elffile
import time:      9124 |      18436 |               packaging._manylinux
import time:      8835 |       8835 |               packaging._musllinux
import time:     13847 |      41117 |             packaging.tags
import time:     11860 |      11860 |             packaging.version
import time:     21957 |      89483 |           packaging.utils
import time:     33433 |     122915 |         airflow._shared.providers_discovery.providers_discovery
import time:     30467 |     153382 |       airflow._shared.providers_discovery
import time:     21506 |      21506 |         airflow.utils.log
import time:      8324 |       8324 |             structlog.typing
import time:     13886 |      22210 |           structlog.contextvars
import time:      8679 |       8679 |             structlog._frames
import time:      9639 |       9639 |             structlog.exceptions
import time:      8359 |       8359 |               structlog._log_levels
import time:      9200 |       9200 |               structlog._utils
import time:     13583 |      13583 |                   rich._extension
import time:     13637 |      27220 |                 rich
import time:      8754 |       8754 |                   rich.repr
import time:      9036 |       9036 |                       attr._compat
import time:       114 |        114 |                         unicodedata
import time:      8431 |       8431 |                         attr._config
import time:      9674 |       9674 |                           attr.exceptions
import time:     10749 |      20423 |                         attr.setters
import time:     17741 |      46707 |                       attr._make
import time:     15407 |      71149 |                     attr.converters
import time:      8767 |       8767 |                     attr.filters
import time:     15123 |      15123 |                     attr.validators
import time:      8408 |       8408 |                     attr._cmp
import time:      9646 |       9646 |                     attr._funcs
import time:      9737 |       9737 |                     attr._next_gen
import time:     10791 |      10791 |                     attr._version_info
import time:     18942 |     152561 |                   attr
import time:      9640 |       9640 |                   rich._loop
import time:      9087 |       9087 |                   rich._pick
import time:      9271 |       9271 |                   rich.abc
import time:     18211 |      18211 |                       rich._unicode_data._versions
import time:     17044 |      35255 |                     rich._unicode_data
import time:     11634 |      46888 |                   rich.cells
